meaning_id;word;definition;examples_markdown
40;arhangeljsk;Grad v Rossiji na beregu Bělago morja, važny morsky port;!**Arhangeljsk** jest jednym iz starodavnyh russkih gradov. — **Arhangeljsk** ležit na sěvěru Rossiji.
41;arhimandrit;Vysoky monašsky čin v pravoslavnoj crkvi, načalnik věče monastira ili grupy monastirov;!**Arhimandrit** blagoslovil novy hram. — **Arhimandrit** rukovodi monastirskoju obštinoju.
42;arsen;Mužsko ime grčkogo proishoždenja („mužny, silny“);!**Arsen** jest dobry sportist. — Svety **Arsen** byl veliky podvižnik.
43;astrahanj;Grad v Rossiji v deltě Volgy, centr rybolovstva i izdělja iz kože;!**Astrahanj** ležit na beregu Kaspijskogo morja. — **Astrahanj** jest izvestna svojeju ikroju.
44;ataman;Načalnik kozackogo vojska ili stanice, vyborny vožd kozakov;!Kozaky izbrali novogo **atamana** na radě. — **Ataman** rukovodil kozackym vojakom.
45;atom;Naimenjša častica hemiceskogo elementa, sdržača protony, neutrony i elektrony;!**Atom** jest osnovna jedinica materije. — Voda sdržit dva atomy vodoroda i jedin atom kyslika.
46;atyraў;Grad v Kazahstaně na beregu Kaspijskogo morja, važny centr neftěprerabotky;!**Atyraў** jest glavny neftěny port Kazahstana. — U **Atyrau** imaje se věliky neftěpererabatyvajučy zavod.
47;az;Prvy liter staroslověnskogo (glagoličskogo i kyrilličskogo) alfavita;!Litera **az** jest prva v glagolicě. — V staroslověnskom **az** znači „ja“.
48;az;Městoimen lično prvoj osoby jedinogo čisla: ja;!**Az** jesmь člověk grěšny. — **Az** hoču iti domoj.
49;az;Samooznačenje v staroslavjanskom i cerkvenoslavjanskom jezykah;!**Az** jesmь put i istina i život. — **Az** k vam idu.
50;azbuka;Sistem liter, ktorymi se zapisuje jezyk; alfavit; zbornik osnov;!Děti učet se **azbuku** v škołě. — Kyrilličska **azbuka** imaje 33 litery.
51;azbuka;Učebnik dlja načalnogo učenja čitanja i pisanja; bukvar;!Kupili dětecu novu **azbuku** s kartinami. — Stara **azbuka** byla napisana v 19. stolětju.
52;azerbajdzansky;Odnosęčy se k Azerbajdžanu, jeho narodu ili jezyku;!**Azerbajdzansky** jezyk pripada k turskoj jezyčnoj rodině. — Baku jest glavny grad **Azerbajdzanskej** državy.
54;babka;Mati otca ili matere; stara žena;!Moja **babka** peče najlěpše pirogy. — **Babka** rozkazovala vnukam starodavne povesti.
56;bagno;Mokro, nizko město s gniloju vodoju i tręsinoju; blato, tręsina;!Poslě dožda vsa doroga stala **bagnom**. — **Bagno** jest opasno, možeš utonuti.
57;baian;Muzikalny instrument, tip akordeona s klavišami na pravoj straně;!**Baian** zvuči velmi krasivo na narodnyh prazdnikah. — On igraje na **baianě** od dětstva.
58;baianist;Muzikant, ktory igraje na baianě;!**Baianist** igral na svadbě. — Slavny **baianist** vystupil v koncertnoj halě.
59;balalajka;Rusky strunny ščipkovy instrument s trěmougolnym korpusom;!**Balalajka** jest tradicionny rusky instrument. — Orkestr narodnyh instrumentov vključa **balalajku**.
60;balty;More v Sěvernej Evropě medžu Skandinavijej, Pribaltikoj i Polščeju;!**Balty** omiva beregy 9 držav. — Na **Baltah** jest věliko množstvo turistov.
61;banja;Město dlja kupanja i mytja s paroju, obyčno s vodoju i pečju;!Ruska **banja** jest vělmi zdrava. — V **banji** parimo sę březovymi věnikami.
62;banan;Podolgovaty plod palmy s želtu koroju i měkkoj sladkoj mězgoju;!Kupil jsem kil **banan**ov v magazině. — **Banan** jest bogat kalijem i vitaminami.
63;bandzo;Muzikalny strunny instrument s dlgym gryfem i okruglym korpusom;!**Bandzo** često upotrěbljajut v narodnoj i bluegrass muzikě. — On igraje na **bandzu** s velikym umeňjem.
64;bandora;Ukrajinsky strunny ščipkovy instrument s vělikym korpusom;!**Bandora** jest simvol ukrajinskej narodnoj muziky. — **Bandora** imaje mnogo strun.
65;bandora;Muzikalnyy instrument; jedan typ bandury;!Kobzar igral na **bandorě** i pěvav dumy. — **Bandora** zvuči krasivo v rukah mastera.
66;baobab;Věliko drěvo v Afrikě s debelym stvolom, ktory skladuje vodu;!**Baobab** može žiti do 5000 lět. — Plod **baobabu** jest jedlý i bohaty vitaminami.
68;bara;Lokalno označenje dlja luže, male vodojemy; kaljuža;!Poslě dožda na dvorě stala **bara**. — Děti skakali črěz **baru**.
69;bardzo;Nařčie: vělmi, silno, v visokoj stepeni;!On jest **bardzo** dobry člověk. — Ja **bardzo** ljublju to město.
70;bas;Najnižšy mužsky golos; takže nizky zvuk;!On pěvaje **basom** v horě. — **Bas** jest osnova muzikalnoj harmonije.
71;basnja;Kratka pověst v prozě ili stihah s moralnym poučenjem, obyčno s životinami;!Ezopovy **basnji** sut znane po vsem světě. — **Basnja** o lisicě i grozdjah uči nas ne žadati nemožnogo.
72;basolja;Strunny instrument s dlgym gryfem, na ktorom igrajut smyčkom; violončelo;!**Basolja** imaje nizky zvuk. — V orkestru **basolja** igraje basovu partiju.
74;batoga;Palica ili prut dlja bjenja; orudje tělěsnogo nakazanja;!V starověku **batogom** nakazali provinivših sę. — **Batoga** byla orudjem nakazanja v staroj Rossiji.
75;batozina;Debela palica, dušina;!On šel po dorozě s **batozinoju** v rukě. — **Batozina** ležala u peči.
76;bavny;Sděleny iz bavny; takže měkky, něžny;!**Bavna** košula jest vělmi udobna. — Ona nosi **bavnu** halinu v lětě.
77;bazar;Město na otkrytom prostorě, kde prodajut različne tovary; tŕg, rynok;!Na **bazarě** može kupiti sveže ovoce i zeleninu. — Vostočny **bazar** jest poln barv i aromatov.
78;bazina;Rastjenje s visokym stvolom i vělikimi listami; bambus;!**Bazina** raste v tropičnyh krajinah. — Iz **baziny** dělajut mebli i papir.
79;bcela;Letajučy insekt, ktory sbira nektar i proizvodi med; pčela;!**Bcela** daje nam sladky med. — **Bcely** sut važne dlja opylenja rastjenij.
80;bcelnik;Město, kde držat pčely v ulah; pčelinik;!Děd imaje svoj **bcelnik** v sadu. — V **bcelniku** stojit 20 ulov.
81;bcelovod;Člověk, ktory chova pčely i proizvodi med; pčelar;!**Bcelovod** nosi zaščitnu masku. — **Bcelovod** prověraje uli každy den.
82;bcelovodstvo;Oblast selskogo hozjajstva, zaňata chovanjem pčel i proizvodstvom medu;!**Bcelovodstvo** jest važna gran selskogo hozjajstva. — On izuča **bcelovodstvo** v universitetě.
84;beda;Trudno, opasno ili neprijatno situacija; nęsčasje, gore;!**Beda** prišla v dom. — V **bedě** poznaješ pravogo druga.
85;bednati;Činiti kogo-libo ubogym; lišati imuščstva;!Vojna **bedna** narod. — Krizis **bednaje** obyknovenyh ljudij.
86;bednostj;Stanje bytja ubogym; nedostatok materialnyh sredstv;!**Bednostj** jest vělikoju problěmoju v světě. — On vyrosl v **bednosti**.
87;bednostj;Nedostatok, ubogost, skudnost;!**Bednostj** prirody v pustyni porazila putnikov. — **Bednostj** kulturnoj žizni v provinciji.
88;bednota;Socijalna grupa ubogih ljudij; bjeda;!**Bednota** žila v těsnyh izbah. — Vlada stara se pomagati **bednotě**.
89;bedny;Imajučy malo denej ili materialnyh sredstv; ubogy;!**Bedny** člověk ne imaje ni doma ni raboty. — On jest **bedny**, ale čestny.
90;bjedro;Čast nogi medžu pojasom i kolěnkom; bedro;!On nosi meč na **bjedrě**. — **Bjedro** jest najsilnějša košt v těle člověka.
91;bedstvo;Veliko nęsčasje, katastrofa, stradanje;!Zemletręsenje prinosi **bedstvo** vsemu regionu. — **Bedstvo** vojny čutvovali vsi ljudi.
92;beg;Bystry běg, metoda dviženja, kogda obě nogi odryvajut sę od zemlji;!On zanimal prvo město v **běgu** na 100 metrov. — **Běg** jest dobry sport dlja zdravja.
93;begac;Člověk, ktory běžyt; sportist, zanimajučy se běgom;!**Běgač** priběgl k finiši pervym. — On jest slavny **běgač** na dľne distancije.
94;begati;Dvigati se bystro s pomočju nog, takože izběgati něčego;!Děti **begajut** po dvoru. — On **begaje** od otgovornosti.
95;belagora;Gorska sistemas na Balkaně; planina Bela Gora;!**Belagora** ležit na granicě medžu Černogorijeju i Albanijeju. — Na **Belagorě** sut krasivy vidy.
96;belagora;Grad v Rossiji;!**Belagora** ležit v Amurskoj oblasty. — V **Belagorě** žije okolo 50 tyseč ljudij.
97;belgrad rusjky;Grad v Rusiji (etnonim: Bělgrad);!**Belgrad rusjky** jest maly grad v centralnoj Rossiji. — **Belgrad rusjky** imaje drevnu istoriju.
98;belgrad srbsky;Stolica Serbiji, glavny grad na sutoků Save i Dunaja;!**Belgrad srbsky** jest jedyn iz najstaršyh gradov Evropy. — **Belgrad srbsky** jest političny i kulturny centr Serbiji.
99;beliti;Činiti bělým; pokryvati bělou barvoj;!Maljar **beli** stěny v domu. — Zima **beli** vsju zemlju sněgom.
100;beljgiia;Država v Zapadnoj Evropě, stolica Bruselj;!**Beljgiia** jest členom Evropejskogo sojuza. — V **Beljgiiji** govorjut na trih jezykah.
101;belokameny;Sděleny iz bělogo kamena; epitet za Moskvu;!Moskva **belokamena** stoit na beregu Moskvy-rěky. — **Belokameny** kremlj jest simvol Moskvy.
102;belorusj;Država v Vostočnoj Evropě, stolica Minsk;!**Belorusj** graniči s Polščeju, Litvoj i Rossijej. — **Belorusj** jest izvestna svojimi lasami i jezerami.
103;belorusjky;Odnosęčy se k Belorusiji, jej narodu ili jezyku;!**Belorusjky** jezyk jest jednym iz vostočnoslovjanskyh jezykov. — **Belorusjka** kuhnja jest vělmi sytna.
104;belorusy;Vostočnoslovjansky narod, osnovnoje naseljenje Belorusiji;!**Bělorusy** sut slavjansky narod s bogatu kulturu. — **Bělorusy** govorjut po-bělorusjky i po-rusjky.
105;bely;Imajučy barvu sněga ili mlěka; světly;!Sněg jest **běly** i čist. — **Běla** halina jest simvol čistoty.
106;benzin;Tekuče gorivo dobavajemo iz nefti, upotrěbljajemo v motorah;!**Benzin** jest glavno gorivo dlja avtomobilov. — Cena **benzinu** raste každy god.
107;berljn;Stolica Německeje, glavny grad na rěce Šprěvě;!**Berljn** jest jedyn iz najvěčšyh gradov Evropy. — V **Berljině** sut mnogy muzeje i galerije.
108;bes;Personifikacija zla; demon, čort;!**Bes** kuša člowěka i vodi jeho do grěha. — V narodnyh pověsteh **bes** často byva obmanut.
109;bese;Byti pri sebě; označa bytje, suščestvovanje;!**Bese** moje jest mirno. — V **bese** svojemy on jest čestny.
110;beseda;Razgovor medžu dvěma ili věče osobami; diskusija;!My imali dљgu **besedu** o politikě. — **Beseda** byla vělmi interesna.
111;beton;Stroitelny material iz cementa, pěska i vody, ktory tvrděje;!Dom jest sdělany iz **betona**. — **Beton** jest velmi pročny material.
112;betonovati;Zalivati ili pokryvati betonom; činiti betonnym;!Rabotniki **betonujut** fundament. — Dorogu **betonovali** tri dny.
113;bez;Prědlog, označajučy otsutstvije, nedostatok něčego;!On žije **bez** denej. — Pijem čaj **bez** sahara.
114;bezbrojny;Beskonečny, neizměrimy, bez čisla;!Nebo jest **bezbrojno** v svojem množstvě zvězd. — **Bezbrojny** množstva pěsku na pljaže.
115;bezdetnaj;Žena, ktora ne imaje dětij;!**Bezdetnaja** žena často čutvuje se osamotnjenu. — Ona ostala **bezdetnoju** poslě bolezni.
116;bezdetnostj;Stanje bytja bez dětij;!**Bezdetnostj** može byti dobrovolna ili prinudena. — **Bezdetnostj** jest socialny fenomen.
117;bezdetny;Ne imajučy dětij;!**Bezdetny** muž i žena živut v malom domě. — Oni sut **bezdetny** po svojemu vyboru.
118;bezdomec;Člověk bez doma, ktory žije na ulicě ili v priutah;!**Bezdomci** stradajut v zimně. — Gorod otvoril novy priut dlja **bezdomcev**.
119;bezdomny;Ne imajučy svojego doma ili žilišča;!**Bezdomny** člověk spí na lavicě v parku. — **Bezdomny** psy běgajut po ulicam.
120;bezec;Člověk, ktory běžyt; sportist-běgač;!On jest bystry **bezec**. — **Bezec** priběgl k finiši pervym.
121;bezeti;Izbygati, utěkati, spasati se běgom;!On **beži** od opasnosti. — Zvěri **bežat** od ognja.
122;bezglasny;Bez glasa; neslyšny, tihy;!**Bezglasny** plač ne byl slyšan. — On ostal **bezglasnym** svědkom.
123;bezglasny;Ne izdajučy zvuka; němy;!**Bezglasno** utro bylo tiho i mirno. — V **bezglasnoj** tišině slyšno bylo samo serdce.
124;bezglavy;Bez glavy; obezglavlenny;!**Bezglavy** statuj stajal v parku. — **Bezglavy** vojak ležal na polju.
125;bezglavy;Ne imajučy načalnika, vožda ili rukovoditelja;!**Bezglava** organizacija ne može rabotati. — **Bezglavy** bunt izgubil svoju silu.
126;bezkonecnostj;Stanje bytja bez kona; beskonečnost;!**Beskonečnost** Vselennoj poraža um. — **Beskonečnost** matematičnogo rjada.
127;bezkrajnostj;Beskrajnost, neograničena prostranost;!**Beskrajnost** morja otkrylas pered putnikami. — **Beskrajnost** pustyni poražala svoju veličju.
128;bezkrajny;Ne imajučy kraja; beskonečny, bezgraničny;!**Beskrajny** okean prostiral se do horizonta. — **Beskrajna** step byla polna trav.
129;beznosec;Člověk ili životina bez nosa;!**Beznosec** v pověstě vyględa strašno. — **Beznosec** ne može čuti zapahov.
130;beznosy;Ne imajučy nosa; s otrězanym nosom;!**Beznosy** starik zakryval lico šapkoju. — **Beznosy** gnom v skazkah.
131;bezpametny;Zabyvajučy vse; bez pameti;!**Bezpametny** starec ne poznal svoih vnukov. — **Bezpametny** čelověk zabyl dorogu domoj.
132;bezpametstvo;Stanje poteri pameti; zabytje;!**Bezpametstvo** nastupilo poslě udara. — V **bezpametstvě** on ne mogl govoriti.
133;bezpecnostj;Stanje, kogda ničto ne grozi; jistota, zaščita;!**Bezpečnostj** graždan jest glavna zadača državy. — Děti imajut pravo na **bezpečnostj**.
134;bezplodny;Ne plodęčy; ne sposobny davati plod; bespolodny;!**Bezplodna** zemlja ne daje urožaja. — **Bezplodny** brak ne imaje dětij.
135;bezpokojny;Polny bespokojstva; trevožny;!**Bezpokojny** son mučil jeho vsu noč. — On byl **bezpokojny** o sudbu svojego syna.
136;bezrodny;Ne imajučy rodiny ili rodstvenikov;!**Bezrodny** sirota rasl v internatě. — **Bezrodny** člověk ne imaje nikogo.
137;bezruky;Ne imajučy ruk; bez ruk;!**Bezruky** invalid naučil se risovati nogami. — **Bezruky** vojak ne mogl vojevati.
138;bezsomnenno;Nesomnenno, očevidno, bez vsjakogo somněnja;!**Bezsomnenno**, on jest prav. — **Bezsomnenno**, to bylo najlěpše řešeńje.
139;bezumec;Bezumny člověk; bezumec;!**Bezumec** bežal po ulicě s křikom. — **Bezumec** ne razuměl, čto proishodilo.
140;bezumny;Lisenyj uma; bezumny;!**Bezumny** starik govoril sam s soboju. — **Bezumny** postupok.
141;bezumstvo;Krajne bezumno dělstvo; bezumije;!**Bezumstvo** bylo jeho pogibelju. — **Bezumstvo** ne imaje opravdanja.
142;bezvetrjje;Otsutstvije větra; tišina;!V **bezvětrje** parusy viseli bez dviženja. — **Bezvětrje** trvalo ves den.
144;bezvodny;Ne imajučy vody; suhy;!**Bezvodna** pustynja prostirala se na stotine kilometrov. — **Bezvodny** kolodec ne daval vlagi.
145;bezvolny;Ne imajučy svojej voli; slaby, ne samostojatelny;!**Bezvolny** čelověk podlega vlijanju drugih. — On byl **bezvolnym** orudjem v rukah zločincev.
146;bezzubec;Člověk ili životina bez zubov;!**Bezzubec** ne mogl kusati tverdu píšču. — **Bezzubec** směšno vyględal.
147;bezzuby;Ne imajučy zubov;!**Bezzuby** djd seděl u peči i srbal sup. — **Bezzuba** sobaka ne mogla braniti.
148;bi;Častica, upotrěbljajema dlja tvorjenja uslovnogo naklonjenja;!**Bi** imal li čas? — Ja **bi** rad kupiti tu knigu.
149;bjbliia;Zbor svetyh knig hristijanske religije;!**Biblija** sdržit Stary i Novy Zavět. — **Biblija** byla prevedena na mnoge jezyky.
150;biljon;Čislo 10^12; jedinica s 12 nulami;!**Biljon** jest věliko čislo. — Nacionalny dlg dosegl **biljon** dolarov.
152;bjiti se;Boriti se, vojevati; byti v konfliktě;!Vojaky sut **bili** se hrabro. — Oni **bijut** se za svoju svobodu.
153;bjitka;Srazěnje medžu dvěma stranami; boj, borba;!**Bitka** byla krvava i dola. — **Bitka** pri Borodině izměnila vsu vojnu.
154;bjitva;Boj, srazěnje, borb;!**Bitva** na Kulikovom polju byla važnoj dlja Rusi. — V **bitvě** on pokazal svoju hrabrost.
155;bjitveny;Odnosęčy se k bitvě, bojny;!**Bitveny** pol byl pokryt trupami. — **Bitveny** křik byl slyšan na kilometry.
156;bjznes;Ekomonična aktivnost za celju polučenja pribytka;!On vključil svoj **biznes** v 2010 godu. — **Biznes** trěbuje investicij i riska.
157;blagodaram;Formula vděčnosti; spasibo;!**Blagodaram** vam za pomoč! — On skazal **blagodaram** i ušel.
158;blagodarati;Vyražati vděčnost;!On **blagodari** vseh za podporu. — **Blagodarju** tebě za tvoj trud.
159;blagodarny;Čutvujučy vděčnost; hotovy vyraziti blagodarnost;!Ja jest **blagodarny** za tvoju pomoč. — **Blagodarny** student pozdravil profesora.
160;blagoprati;Želati dobro; prědskazyvati sčasje;!**Blagoprat** vam na vsaky den. — **Blagopraju** sčasja v novom godu.
161;blagorecjje;Krasnorěčje, umeňje krasivo govoriti;!**Blagorečje** oratora vdohnovilo publiku. — **Blagorečje** jest važna sposobnost v politiku.
162;blato;Mokra, měkka zemlja; grjaz, kal;!Poslě dožda na dorogi bylo **blato**. — Avto ugrjazlo v **blatě**.
163;blazenj;Sčastlivy, blagopolukny člověk;!**Blažen**, kto věruje. — **Blažen** muž, ktory ne ide na sovět nečestivyh.
164;bledy;Slabo obarvleny; bez ruměnca;!On byl **blědy** poslě bolezni. — **Blěda** luna světila na nočnom nebě.
165;blesk;Bystry světelny effekt; sjajanje;!**Blesk** molniji osvětlil vsju ravninu. — **Blesk** zlaty oslepil glaza.
166;bleskavica;Iskra na nebě vo vremja grozy; molnija;!**Bleskavica** udarila v drěvo. — **Bleskavica** osvětila tennu noč.
167;bljzko;Na malom razstočaniji; nedaleko;!Dom stoji **blizko** rěky. — On si **blizko** mene sidit.
168;bljzky;Nahodęčy se na malom razstočaniji;!**Blizky** drug jest najlěpše imetje. — Ona jest **blizka** moja prijateljka.
169;bljzky;Srodny po duhu; intimenny;!On jest **blizky** moj rodstvenik. — **Blizky** kontakt s prirodoju.
170;bljznacy;Dva djeti, rođeni v jedinoy rodah;!**Bliznacy** sut pohoži jedyn na drugogo. — Ona rodila **bliznacov**.
171;blogarnja;Město, kde skladajut vešči; skladišče, magazin;!V **blogarnji** ležaly stary věči. — **Blogarnja** byla polna knig.
172;blud;Grehovno dělstvo; rozvrat;!**Blud** osuždaetsja crkvoju. — On žil v **bludě** i bezčestiji.
173;bludzati;Broditi bez cěli; tulasja;!On **bludza** po lesu. — **Bludzati** po gorodu večerom.
174;bludzati;Govoriti ne pravdu; lgati;!Ne **bludzaj**, govori pravdu! — On **bludza** i vse znajut to.
175;bljudco;Mala miska; taneročka;!Na **bljudcě** ležal kusok torta. — **Bljudco** bylo iz farfora.
176;bluditi;Zablužati se; iti v nesprávnom napravleniji;!On **bludil** v tennom lesu. — **Bluditi** v gorah jest opasno.
177;bludj;Člověk, ktory zabluža; bludač;!**Bludj** ne mogl najti dorogu domoj. — **Bludj** byl najden raz svitanjem.
178;bludny;Sklonny k zabluždenju; ne znajdučy pravilnu dorogu;!**Bludny** syn vratil se domoj. — **Bludna** ovca.
179;bljudo;Vělikaja miska dlja podavanja jedy;!Na **bljudě** ležal pečeny hus. — **Bljudo** bylo ukrašeno zelenju.
180;bob;Rastjenje s plodami v strukah; jedy plod;!**Bob** jest plod bobovogo rastjenja. — Vareny **bob** jest sytny i zdravy.
181;bobr;Životina sa debelym mehom i širokim hvostom, živuča v vodě;!**Bobr** stroit hatky na rěkah. — **Bobr** imaje cenny meh.
182;bobr;Samec bobra;!**Bobr** plaval po rěcě s větevju v zubah. — **Bobr** byl aktivny nočju.
183;bocar;Sosud dlja tekučin; velika bačka;!V **bocarě** zrelo vino. — **Bocar** s vodoju stojal u vhoda.
184;bocov;Bojec; učastnik borby;!**Bocov** vyšel na ring. — **Bocov** treniruetsa každy den.
185;bodati;Nanostiti ubod; kłuti;!Osa **boda** bolezno. — Ne **bodaj** me igloju!
186;bodec;Maly ostry prědmet; šip, igla;!Rozany **bodec** ranil mu ruku. — **Bodec** na plotě zaščišča ogradu.
187;bodnar;Majstor, ktory dělaje bočary;!**Bodnar** izgotovil novu bočku za vino. — **Bodnar** rabota v podvalě.
188;bodnarny;Odnosęčy se k bodnarju ili bočkarstvu;!**Bodnarny** instrument byl star i ržavy. — **Bodnarna** masterska byla na konci ulice.
189;bog;Nadprirodna bytost, tvorec vseho v religijah;!**Bog** stvoril nebo i zemlju. — Mnogy ljudy věrujut v **Boga**.
